File,Reading.level,Lexical.density,Mean.frequency.Zipf-value,Sd.frequency.Zipf-value,Mean.frequency.Lg10WF,Sd.frequency.Lg10WF,TTR
A7L1,Level1,0.5725190839694656,5.758905019812666,1.2186211960092121,4.467067843137258,1.218615946958525,0.48091603053435117
A11L1,Level1,0.5037406483790524,5.941084610371209,1.116082375510262,4.6492428198433435,1.1160777523259555,0.4014962593516209
A9L1,Level1,0.56282722513089,5.91290702396971,1.1865832341309885,4.621067768595048,1.1865778735540151,0.46596858638743455
A28L1,Level1,0.5618374558303887,5.90347411396593,1.0560865527176437,4.6116345454545415,1.056084362783439,0.4911660777385159
A15L1,Level1,0.6096385542168675,5.779365210483085,1.1209212957052779,4.48752835051546,1.120916888119961,0.4819277108433735
A6L1,Level1,0.5616883116883117,5.822359024005167,1.345101591389627,4.530517712177123,1.3450907566946253,0.4577922077922078
A26L1,Level1,0.5413153456998314,5.6996334779181215,1.3829959532448681,4.407794551845353,1.3829938045404913,0.45868465430016864
A16L1,Level1,0.5352112676056338,5.7314343784987525,1.3242305002052734,4.439594736842106,1.3242195380661859,0.43427230046948356
A13L1,Level1,0.5393258426966292,5.789840121367793,1.2143445073975099,4.497999101796407,1.2143361844117337,0.4438202247191011
A2L1,Level1,0.5339805825242718,5.9455088156370035,1.056957450080263,4.653673972602742,1.0569551516550955,0.40388349514563104
A3L1,Level1,0.5373961218836565,5.909451730516893,1.1447598284602354,4.6176131498471,1.144755673053932,0.48753462603878117
A20L1,Level1,0.5081521739130435,5.9317709174372215,1.1611362063776298,4.639932558139537,1.1611303922623488,0.4673913043478261
A17L1,Level1,0.5566037735849056,5.822394092336335,1.1824217945037638,4.530552649006624,1.1824129430912331,0.5157232704402516
A21L1,Level1,0.575809199318569,5.733635135838307,1.2456532523458306,4.441795590828923,1.245651970256334,0.44804088586030666
A25L1,Level1,0.5710306406685237,5.7302492832191,1.2113791380658085,4.438408959537571,1.2113722123867825,0.5069637883008357
A22L1,Level1,0.5583941605839416,5.757777493651573,1.1870824710412737,4.465942322097383,1.187079826539008,0.4051094890510949
A10L1,Level1,0.5290697674418605,5.874196022667163,1.1686077763704679,4.582352647975084,1.168600348048348,0.45930232558139533
A19L1,Level1,0.5856573705179283,5.856586574017034,1.0418747940652286,4.564744534412956,1.0418743220542281,0.5258964143426295
A1L1,Level1,0.5173267326732673,5.81281148381443,1.259922879477506,4.520973417721519,1.259916723680513,0.4430693069306931
A24L1,Level1,0.5698630136986301,6.004701559255862,1.0423354282818587,4.7128622356495455,1.0423332523123152,0.473972602739726
A8L1,Level1,0.5788043478260869,5.820639320668072,1.067089123902171,4.528801388888884,1.0670914628211814,0.45108695652173914
A30L1,Level1,0.575197889182058,5.763583061345925,1.1964015892130284,4.471743175487467,1.1963959218589022,0.48284960422163586
A18L3,Level3,0.5388535031847134,5.523784924567462,1.50243094859301,4.231945541838132,1.502423956205799,0.4802547770700637
A20L3,Level3,0.5661577608142494,5.6647219660810535,1.323371472912605,4.3728830769230695,1.3233663252072838,0.5
A22L3,Level3,0.5712383488681758,5.566355460633204,1.3289167273984503,4.274516852367689,1.328913352341213,0.3821571238348868
A10L3,Level3,0.5363511659807956,5.701223192143661,1.3217958137350605,4.409385526315785,1.3217885294290754,0.43621399176954734
A25L3,Level3,0.5649509803921569,5.611672944314699,1.380964263010503,4.31983397683397,1.3809561641536792,0.4485294117647059
A23L3,Level3,0.5578406169665809,5.529602571567566,1.3706999897857521,4.237765785813623,1.370697763142419,0.47429305912596403
A12L3,Level3,0.5798004987531172,5.522690254515497,1.37471185425568,4.230852638352638,1.3747119587088439,0.44139650872817954
A27L3,Level3,0.5862068965517241,5.547906580267399,1.3479174821771787,4.256067902665116,1.3479145833939896,0.41713014460511677
A4L3,Level3,0.5569461827284106,5.4882041251961535,1.4107014571252257,4.196366666666659,1.41069438891008,0.4493116395494368
A1L3,Level3,0.5471014492753623,5.658196132887456,1.400423086987122,4.36635910224439,1.4004179556998602,0.4251207729468599
A7L3,Level3,0.5407894736842105,5.618686712973067,1.3839142730648066,4.3268501385041525,1.3839104075212698,0.4631578947368421
A5L3,Level3,0.5989637305699482,5.361413353832397,1.4245945538338993,4.069574783549776,1.4245890764173648,0.49533678756476685
A3L3,Level3,0.5357607282184655,5.632884762303127,1.361643648597438,4.34104705882353,1.3616393386767116,0.47724317295188556
A6L3,Level3,0.5757225433526012,5.548001974166254,1.4747417470967832,4.256162948717943,1.4747352830946054,0.4705202312138728
A11L3,Level3,0.5676905574516496,5.556456139125748,1.3871023373351654,4.264616486161244,1.3870978565563514,0.4323094425483504
A14L3,Level3,0.5193075898801598,5.68909615998627,1.360756397720252,4.39726011315417,1.3607492037563749,0.4181091877496671
A15L3,Level3,0.5755743651753326,5.63851485299507,1.2834784216578685,4.346678305519897,1.2834746505952583,0.4703748488512696
A13L3,Level3,0.5296735905044511,5.713648057167816,1.3415823107435965,4.4218084112149505,1.341576719645808,0.42136498516320475
A9L3,Level3,0.5486284289276808,5.724089646560654,1.366491163072965,4.432249932523613,1.3664838550022378,0.4488778054862843
A2L3,Level3,0.5147727272727273,5.775707165290121,1.264831447572025,4.483871560693646,1.2648266633055087,0.39886363636363636
